Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Customer Name
Second Class,Consumer,United States,Henderson,Kentucky,42420.0,South,Furniture,Bookcases,261.96,2,0.0,41.9136,unknown
Second Class,Consumer,United States,Henderson,Kentucky,42420.0,South,Furniture,Chairs,731.94,3,0.0,219.582,unknown
Second Class,Corporate,United States,Los Angeles,California,90036.0,West,Office Supplies,Labels,14.62,2,0.0,6.8714,unknown
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,Furniture,Tables,957.5775,5,0.45,-383.031,unknown
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,Office Supplies,Storage,22.368,2,0.2,2.5164,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Furniture,Furnishings,48.86,7,0.0,14.1694,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Art,7.28,4,0.0,1.9656,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,907.152,6,0.2,90.7152,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Binders,18.504,3,0.2,5.7825,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Appliances,114.9,5,0.0,34.47,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Furniture,Tables,1706.184,9,0.2,85.3092,unknown
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,911.424,4,0.2,68.3568,unknown
Standard Class,Consumer,United States,Concord,North Carolina,28027.0,South,Office Supplies,Paper,15.552,3,0.2,5.4432,unknown
Standard Class,Consumer,United States,Seattle,Washington,98103.0,West,Office Supplies,Binders,407.976,3,0.2,132.5922,unknown
Standard Class,Home Office,United States,Fort Worth,Texas,76106.0,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,unknown
Standard Class,Home Office,United States,Fort Worth,Texas,76106.0,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,unknown
Standard Class,Consumer,United States,Madison,Wisconsin,53711.0,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,unknown
Second Class,Consumer,United States,West Jordan,Utah,84084.0,West,Office Supplies,Storage,55.5,2,0.0,9.99,unknown
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Office Supplies,Art,8.56,2,0.0,2.4824,unknown
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Technology,Phones,213.48,3,0.2,16.011,unknown
